Datetime,Winner,Loser
2021-03-19 12:15:00,Florida,Virginia Tech
2021-03-19 12:45:00,Arkansas,Colgate
2021-03-19 13:15:00,Illinois,Drexel
2021-03-19 13:45:00,Texas Tech,Utah St.
2021-03-19 15:00:00,Oral Roberts,Ohio St.
2021-03-19 15:30:00,Baylor,Hartford
2021-03-19 16:00:00,Loyola Chicago,Georgia Tech
2021-03-19 16:30:00,Oregon St.,Tennessee
2021-03-19 18:25:00,Oklahoma St.,Liberty
2021-03-19 19:10:00,Wisconsin,North Carolina
2021-03-19 19:15:00,Houston,Cleveland St.
2021-03-19 19:25:00,North Texas,Purdue
2021-03-19 21:20:00,Rutgers,Clemson
2021-03-19 21:40:00,Syracuse,San Diego St.
2021-03-19 22:10:00,Villanova,Winthrop
2021-03-19 22:25:00,West Virginia,Morehead St.
2021-03-20 12:15:00,Colorado,Georgetown
2021-03-20 12:45:00,Florida St.,UNC Greensboro
2021-03-20 13:15:00,Kansas,Eastern Washington
2021-03-20 13:45:00,LSU,St. Bonaventure
2021-03-20 15:00:00,Michigan,Texas Southern
2021-03-20 15:30:00,Creighton,UC Santa Barbara
2021-03-20 16:00:00,Alabama,Iona
2021-03-20 16:30:00,USC,Drake
2021-03-20 18:25:00,Iowa,Grand Canyon
2021-03-20 19:10:00,Maryland,Connecticut
2021-03-20 19:15:00,Ohio,Virginia
2021-03-20 19:25:00,Oklahoma,Missouri
2021-03-20 21:20:00,Gonzaga,Norfolk St.
2021-03-20 21:40:00,UCLA,BYU
2021-03-20 21:57:00,Oregon,VCU
2021-03-20 22:13:00,Abilene Christian,Texas
2021-03-21 12:10:00,Loyola Chicago,Illinois
2021-03-21 14:40:00,Baylor,Wisconsin
2021-03-21 17:15:00,Syracuse,West Virginia
2021-03-21 18:10:00,Arkansas,Texas Tech
2021-03-21 19:10:00,Houston,Rutgers
2021-03-21 19:45:00,Oral Roberts,Florida
2021-03-21 20:45:00,Villanova,North Texas
2021-03-21 21:40:00,Oregon St.,Oklahoma St.
2021-03-22 12:10:00,Oregon,Iowa
2021-03-22 14:40:00,Gonzaga,Oklahoma
2021-03-22 17:15:00,UCLA,Abilene Christian
2021-03-22 18:10:00,Creighton,Ohio
2021-03-22 19:10:00,Michigan,LSU
2021-03-22 19:45:00,Florida St.,Colorado
2021-03-22 20:45:00,Alabama,Maryland
2021-03-22 21:40:00,USC,Kansas
2021-03-27 14:40:00,Oregon St.,Loyola Chicago
2021-03-27 17:15:00,Baylor,Villanova
2021-03-27 19:25:00,Arkansas,Oral Roberts
2021-03-27 21:55:00,Houston,Syracuse
2021-03-28 14:10:00,Gonzaga,Creighton
2021-03-28 17:00:00,Michigan,Florida St.
2021-03-28 19:15:00,UCLA,Alabama
2021-03-28 21:45:00,USC,Oregon
2021-03-29 19:15:00,Houston,Oregon St.
2021-03-29 21:57:00,Baylor,Arkansas
2021-03-30 19:15:00,Gonzaga,USC
2021-03-30 21:57:00,UCLA,Michigan
2021-04-03 17:14:00,Baylor,Houston
2021-04-03 20:34:00,Gonzaga,UCLA
2021-04-05 21:20:00,Baylor,Gonzaga
